"DATE","TIME PERIOD","Gross domestic product at market prices, volume (MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N)"
"1995-03-31","1995Q1","2104634.88"
"1995-06-30","1995Q2","2121344.00"
"1995-09-30","1995Q3","2126754.31"
"1995-12-31","1995Q4","2131524.57"
"1996-03-31","1996Q1","2134968.50"
"1996-06-30","1996Q2","2151785.96"
"1996-09-30","1996Q3","2161987.13"
"1996-12-31","1996Q4","2174005.69"
"1997-03-31","1997Q1","2180469.27"
"1997-06-30","1997Q2","2206763.41"
"1997-09-30","1997Q3","2223975.68"
"1997-12-31","1997Q4","2247349.72"
"1998-03-31","1998Q1","2263393.83"
"1998-06-30","1998Q2","2272248.83"
"1998-09-30","1998Q3","2284243.79"
"1998-12-31","1998Q4","2291175.40"
"1999-03-31","1999Q1","2314119.86"
"1999-06-30","1999Q2","2325244.22"
"1999-09-30","1999Q3","2355751.02"
"1999-12-31","1999Q4","2380720.17"
"2000-03-31","2000Q1","2411149.54"
"2000-06-30","2000Q2","2432983.18"
"2000-09-30","2000Q3","2449339.31"
"2000-12-31","2000Q4","2460976.17"
"2001-03-31","2001Q1","2488071.86"
"2001-06-30","2001Q2","2489184.99"
"2001-09-30","2001Q3","2494471.65"
"2001-12-31","2001Q4","2493089.71"
"2002-03-31","2002Q1","2498701.77"
"2002-06-30","2002Q2","2510322.77"
"2002-09-30","2002Q3","2521867.14"
"2002-12-31","2002Q4","2526569.11"
"2003-03-31","2003Q1","2519738.09"
"2003-06-30","2003Q2","2521032.96"
"2003-09-30","2003Q3","2537447.45"
"2003-12-31","2003Q4","2553683.44"
"2004-03-31","2004Q1","2566920.81"
"2004-06-30","2004Q2","2582901.46"
"2004-09-30","2004Q3","2588711.70"
"2004-12-31","2004Q4","2600229.15"
"2005-03-31","2005Q1","2607246.76"
"2005-06-30","2005Q2","2623326.49"
"2005-09-30","2005Q3","2642860.82"
"2005-12-31","2005Q4","2661303.64"
"2006-03-31","2006Q1","2686387.28"
"2006-06-30","2006Q2","2715934.98"
"2006-09-30","2006Q3","2730735.15"
"2006-12-31","2006Q4","2762669.15"
"2007-03-31","2007Q1","2782017.86"
"2007-06-30","2007Q2","2800707.11"
"2007-09-30","2007Q3","2811522.89"
"2007-12-31","2007Q4","2825814.65"
"2008-03-31","2008Q1","2843954.65"
"2008-06-30","2008Q2","2830060.41"
"2008-09-30","2008Q3","2814628.88"
"2008-12-31","2008Q4","2766161.49"
"2009-03-31","2009Q1","2681378.30"
"2009-06-30","2009Q2","2681456.74"
"2009-09-30","2009Q3","2691049.24"
"2009-12-31","2009Q4","2702985.48"
"2010-03-31","2010Q1","2713548.16"
"2010-06-30","2010Q2","2738809.20"
"2010-09-30","2010Q3","2750961.19"
"2010-12-31","2010Q4","2767285.62"
"2011-03-31","2011Q1","2793590.28"
"2011-06-30","2011Q2","2793376.55"
"2011-09-30","2011Q3","2793863.47"
"2011-12-31","2011Q4","2785386.29"
"2012-03-31","2012Q1","2778611.52"
"2012-06-30","2012Q2","2768589.54"
"2012-09-30","2012Q3","2764959.88"
"2012-12-31","2012Q4","2753030.34"
"2013-03-31","2013Q1","2743947.35"
"2013-06-30","2013Q2","2761924.19"
"2013-09-30","2013Q3","2770109.39"
"2013-12-31","2013Q4","2775883.91"
"2014-03-31","2014Q1","2788908.43"
"2014-06-30","2014Q2","2795458.52"
"2014-09-30","2014Q3","2809053.11"
"2014-12-31","2014Q4","2819602.05"
"2015-03-31","2015Q1","2840876.16"
"2015-06-30","2015Q2","2852866.13"
"2015-09-30","2015Q3","2865142.75"
"2015-12-31","2015Q4","2879214.85"
"2016-03-31","2016Q1","2893012.43"
"2016-06-30","2016Q2","2898566.78"
"2016-09-30","2016Q3","2912524.75"
"2016-12-31","2016Q4","2934853.17"
"2017-03-31","2017Q1","2958614.89"
"2017-06-30","2017Q2","2978219.56"
"2017-09-30","2017Q3","3000041.13"
"2017-12-31","2017Q4","3024473.89"
"2018-03-31","2018Q1","3025710.75"
"2018-06-30","2018Q2","3041200.66"
"2018-09-30","2018Q3","3043537.25"
"2018-12-31","2018Q4","3060003.32"
"2019-03-31","2019Q1","3082093.95"
"2019-06-30","2019Q2","3093225.18"
"2019-09-30","2019Q3","3099051.75"
"2019-12-31","2019Q4","3095829.59"
"2020-03-31","2020Q1","2995342.17"
"2020-06-30","2020Q2","2662313.51"
"2020-09-30","2020Q3","2969661.49"
"2020-12-31","2020Q4","2980602.95"
"2021-03-31","2021Q1","3004292.17"
"2021-06-30","2021Q2","3069219.13"
"2021-09-30","2021Q3","3123112.04"
"2021-12-31","2021Q4","3148318.30"
"2022-03-31","2022Q1","3171778.51"
"2022-06-30","2022Q2","3201012.35"
"2022-09-30","2022Q3","3215574.89"
"2022-12-31","2022Q4","3213768.26"
"2023-03-31","2023Q1","3213033.61"
"2023-06-30","2023Q2","3218927.14"
"2023-09-30","2023Q3","3218829.73"
"2023-12-31","2023Q4","3221247.97"
"2024-03-31","2024Q1","3230466.36"
"2024-06-30","2024Q2","3236979.89"
"2024-09-30","2024Q3","3251312.54"
"2024-12-31","2024Q4","3263878.49"
"2025-03-31","2025Q1","3283229.63"
"2025-06-30","2025Q2","3287888.31"
"2025-09-30","2025Q3","3297740.61"
"2025-12-31","2025Q4","3304190.51"
